X,Concern,ID,Comments,STATUS,Implementation Details
,"Interview/officer too young (looks like a college kid), tone is not authoritative enough. Currently it's an old guy but young guy's voice.",SR,,❌ NOT IMPLEMENTED,Professional avatar selection not implemented. Requires budget/provider research and may depend on LiveAvatar/Tavus capabilities. Marked as lower priority in Implementation Summary.
,"The officer should have a (slightly blurry) American flag behind him to give an official look, with a laptop",SR,,❌ NOT IMPLEMENTED,Background customization (American flag) not implemented. Depends on LiveAvatar/Tavus API capabilities. Marked as lower priority in Implementation Summary.
,"Consulate interviews are done at windows, officers wear a shirt/pant, CBP interviews are at the airport booths, officers wear uniforms, USCIS interviews are done in an office, officers wear a shirt/pant.

Here is how the consulate interview looks: https://miro.medium.com/v2/resize:fit:1400/format:webp/1*ePygVvDPlIAYEXJ_xGBsGw.jpeg",SR,,❌ NOT IMPLEMENTED,"Environment-specific settings (Consulate/CBP/USCIS) not implemented. Would require different avatar configurations, backgrounds, and agent personas per interview type. Marked as lower priority in Implementation Summary."
,"Multi participant interview - we can have a questionnaire before the interview to name ""applicant"" and ""co-applicant"". Please discuss with Sachin ",SR,,❌ NOT IMPLEMENTED,"Multi-participant interviews not implemented. Estimated 4-6 weeks effort, requires significant changes to LiveKit session logic, agent conversation handling, and UI. Marked for future sprint in Implementation Summary."
,date/time stamp on the interview report is not accurate,SR,,✅ FIXED,"Added timeZoneName: ""short"" to toLocaleTimeString() calls. Reports now show timezone info (e.g., ""3:45 PM EST""). Applied to both web view and PDF generation. See Implementation Summary #5."
,"In real life interviews, there is actual ""latency' when the officer asks a question and verifies the answer given, when this happens, the officer looks away and looks to his computer screen to verify the data or the application on file that's scanned into his system. Is it possible that the AI officer has a computer screen he looks at during the analysis?",SR,,❌ NOT IMPLEMENTED,Officer animation (looking at computer) not implemented. Depends on LiveAvatar/Tavus API support for custom animations/behaviors. Marked as lower priority in Implementation Summary.
,"Can we have a general file upload prior to the interview which will give the interviewer context of the interview? Can it be any file, eg. DS160, DS260, LCA, resume, etc? ",SRR,,❌ NOT IMPLEMENTED,"General file upload system not implemented. Estimated 2-3 weeks effort, requires document parsing, context injection, and agent prompt engineering. Marked for future sprint in Implementation Summary."
,What can we use other than elevenlabs? We need multilingual. But elevenlabs is too costly. What if we use open labs whisper which is much cheaper? Elevenlabs is .18/m vs whisper being .006/m ….. Elevenlabs API scale pricing seems much cheaper. So if elevenlabs is much more operationally efficient then we can stick with that,SRR,,✅ FIXED,"Switched from ElevenLabs to Cartesia Sonic-3 TTS. Cost reduced from $0.18/min to $0.006/min (97% savings). Cartesia auto-detects language, maintaining full multilingual support. See Implementation Summary #14."
,,,,,
,"⏰ Important: Your report will be available for 7 days. After that, it will be automatically deleted for your privacy. You'll receive a reminder 24 hours before deletion. - is this actually happening? I have an interview in there that's 2 weeks old",SRR,,⚠️ NEEDS VERIFICATION,"7-day deletion system implementation needs to be verified. Cron job exists (/api/cron/check-expiring-interviews) but may need testing. Should check: 1) Is cron job running on schedule? 2) Are deletion emails being sent? 3) Are interviews actually deleted after 7 days?"
,Add more visas,SRR,,❌ NOT IMPLEMENTED,"Additional visa types not added. Current visas supported: F-1, B-1/B-2, H-1B, J-1, K-1, L-1, O-1. Can be added by updating lib/visa-types.ts and creating corresponding agent prompts/questions."
,Website design  should say "Patent Pending Technology",SR,,✅ FIXED,"Added ""Patent Pending Technology"" text to Footer component. Footer added to select-visa and reports pages with copyright, Terms, Privacy, and Contact links. Fixed footer positioning (sticky to bottom). See Implementation Summary #6."
